
(186 rows affected)
Master Customer ID,First Order Date,Last Order Date,Lifetime Gross Revenue,Lifetime Discounts,Lifetime Net Revenue,Lifetime # Orders
659,2012-08-13 03:59:00.000,2012-10-22 22:03:00.000,49.48,0.00,51.48,2
657,2012-08-12 22:59:00.000,2014-03-01 06:45:00.000,342.00,0.00,371.30,4
651,2012-08-12 19:31:00.000,2013-05-01 07:13:00.000,135.00,0.00,135.00,9
640,2012-08-09 20:09:00.000,2012-08-09 20:09:00.000,15.00,-10.01,4.99,1
635,2012-08-06 14:50:00.000,2013-03-01 08:14:00.000,171.00,0.00,171.00,2
601,2012-08-02 00:48:00.000,2014-03-09 18:40:00.000,189.00,0.00,189.00,6
589,2012-08-01 22:36:00.000,2013-04-01 06:54:00.000,135.00,-5.00,130.00,9
562,2012-08-01 15:20:00.000,2012-11-01 08:52:00.000,60.00,-5.00,55.00,4
557,2012-08-01 15:02:00.000,2013-05-01 20:07:00.000,60.00,-10.01,49.99,4
554,2012-08-01 14:44:00.000,2015-10-01 06:06:00.000,555.00,-10.01,544.99,37
550,2012-08-01 03:55:00.000,2012-09-10 17:04:00.000,85.50,0.00,85.50,2
530,2012-07-31 17:59:00.000,2018-05-01 00:08:00.000,1124.85,-19.01,1105.84,70
520,2012-07-31 14:57:00.000,2012-11-01 08:37:00.000,87.00,-10.01,76.99,3
508,2012-07-30 20:03:00.000,2013-10-01 05:57:00.000,225.00,0.00,225.00,15
505,2012-07-30 14:02:00.000,2012-11-01 08:30:00.000,87.00,-10.01,76.99,3
485,2012-07-29 20:03:00.000,2012-10-01 08:13:00.000,45.00,-10.01,34.99,3
475,2012-07-28 15:44:00.000,2013-01-01 07:58:00.000,90.00,-10.01,79.99,6
465,2012-07-28 03:04:00.000,2013-09-02 19:06:00.000,180.00,-5.00,189.02,12
462,2012-07-28 01:52:00.000,2014-05-01 05:36:00.000,330.00,-10.01,319.99,22
456,2012-09-10 16:58:00.000,2012-09-10 16:58:00.000,0.00,0.00,0.00,1
396,2012-07-24 16:34:00.000,2012-10-01 07:41:00.000,60.00,-20.02,39.98,4
394,2012-07-24 15:48:00.000,2012-12-01 07:50:00.000,97.99,-20.02,79.97,7
385,2012-07-23 20:14:00.000,2012-12-01 07:48:00.000,90.00,-15.01,74.99,6
378,2012-07-23 13:53:00.000,2013-08-01 06:08:00.000,261.00,-10.01,272.39,7
374,2012-07-23 11:42:00.000,2012-08-27 15:48:00.000,30.00,-15.01,14.99,2
372,2012-07-23 09:26:00.000,2014-09-01 05:20:00.000,390.00,-5.00,385.00,26
365,2012-07-23 02:32:00.000,2012-09-01 22:05:00.000,30.00,-5.00,25.00,2
336,2012-07-20 01:13:00.000,2013-04-01 06:08:00.000,135.00,-5.00,130.00,9
306,2012-07-19 02:39:00.000,2012-11-01 06:59:00.000,60.00,-5.00,55.00,4
280,2012-07-17 20:44:00.000,2013-10-01 05:31:00.000,225.00,-5.00,220.00,15
279,2012-07-17 16:44:00.000,2013-02-01 13:29:00.000,105.00,0.00,105.00,7
269,2012-07-17 01:48:00.000,2012-10-04 02:01:00.000,45.00,-10.01,34.99,3
266,2012-07-16 19:24:00.000,2014-08-08 14:28:00.000,58.50,0.00,59.93,2
251,2012-07-16 03:24:00.000,2013-01-01 11:28:00.000,102.00,-10.01,91.99,3
248,2012-07-15 21:59:00.000,2013-02-27 01:57:00.000,90.00,-20.02,69.98,6
247,2012-07-15 21:34:00.000,2012-11-01 06:37:00.000,60.00,0.00,65.72,4
218,2012-07-14 15:01:00.000,2013-03-01 06:45:00.000,120.00,-10.01,109.99,8
213,2012-07-14 12:53:00.000,2012-09-01 20:30:00.000,30.00,-10.01,19.99,2
211,2012-07-14 11:53:00.000,2012-07-14 11:53:00.000,15.00,0.00,15.00,1
210,2012-07-16 22:15:00.000,2014-09-01 05:20:00.000,814.96,-10.00,806.96,52
167,2012-07-13 19:20:00.000,2013-11-01 06:26:00.000,240.00,-10.01,229.99,16
127,2012-07-12 19:23:00.000,2013-05-01 05:20:00.000,150.00,-5.00,145.00,10
101,2012-07-12 00:08:00.000,2013-05-01 05:16:00.000,150.00,-5.00,145.00,10
89,2012-07-11 18:26:00.000,2012-12-31 20:02:00.000,135.00,-10.01,38.32,4
85,2012-07-18 22:59:00.000,2012-07-18 22:59:00.000,15.00,-5.00,10.00,1
66,2012-07-11 15:09:00.000,2013-02-01 09:36:00.000,171.00,-5.00,166.00,3
60,2012-07-11 14:53:00.000,2012-10-01 05:17:00.000,45.00,-5.00,40.00,3
44,2012-07-11 03:20:00.000,2012-07-11 03:20:00.000,15.00,-5.00,10.00,1
35,2012-07-11 02:10:00.000,2013-01-01 06:05:00.000,90.00,-5.00,85.00,6
33,2012-07-11 01:26:00.000,2015-07-01 07:34:00.000,240.00,-15.01,224.99,16

(186 rows affected)

